day,page,visits,subs
7/1/2013,240,263,18
7/1/2013,243,859,13
7/1/2013,397,902,16
7/1/2013,429,914,10
7/1/2013,458,901,22
7/1/2013,346,5,1
7/1/2013,401,859,22
7/1/2013,248,864,9
7/1/2013,251,237,10
7/1/2013,239,228,6
7/1/2013,326,641,3
7/2/2013,429,1211,19
7/2/2013,240,291,13
7/2/2013,243,1287,16
7/2/2013,397,1318,20
7/2/2013,458,1351,21
7/2/2013,222,1,1
7/2/2013,248,1151,22
7/2/2013,251,302,9
7/2/2013,239,285,6
7/2/2013,326,947,7
7/2/2013,346,6,4
7/2/2013,401,1212,17
7/3/2013,401,1442,21
7/3/2013,326,1077,1
7/3/2013,346,6,2
7/3/2013,240,428,11
7/3/2013,243,1433,14
7/3/2013,397,1568,15
7/3/2013,429,1446,17
7/3/2013,458,1628,21
7/3/2013,248,1457,14
7/3/2013,251,366,15
7/3/2013,239,353,11
7/4/2013,243,1260,10
7/4/2013,397,1377,15
7/4/2013,429,1357,15
7/4/2013,458,1348,19
7/4/2013,346,11,4
7/4/2013,401,1409,14
7/4/2013,251,325,10
7/4/2013,240,359,13
7/4/2013,326,963,8
7/4/2013,239,323,8
7/4/2013,248,1371,20
7/5/2013,240,335,6
7/5/2013,243,1071,18
7/5/2013,397,1202,15
7/5/2013,429,1131,20
7/5/2013,458,1215,21
7/5/2013,346,5,2
7/5/2013,401,1087,16
7/5/2013,239,357,10
7/5/2013,326,768,6
7/5/2013,248,1079,20
7/5/2013,251,355,11
7/6/2013,429,946,20
7/6/2013,240,323,16
7/6/2013,243,858,14
7/6/2013,397,943,14
7/6/2013,458,955,17
7/6/2013,401,935,15
7/6/2013,346,2,2
7/6/2013,248,899,17
7/6/2013,251,311,10
7/6/2013,239,370,14
7/6/2013,326,566,5
7/7/2013,401,742,18
7/7/2013,346,1,0
7/7/2013,239,335,12
7/7/2013,326,446,4
7/7/2013,240,321,15
7/7/2013,243,757,20
7/7/2013,397,814,11
7/7/2013,429,755,10
7/7/2013,458,871,18
7/7/2013,248,718,8
7/7/2013,251,338,6
7/8/2013,326,680,8
7/8/2013,401,1060,10
7/8/2013,240,306,6
7/8/2013,243,943,20
7/8/2013,397,1097,17
7/8/2013,429,1021,13
7/8/2013,458,1055,19
7/8/2013,239,325,5
7/8/2013,248,1047,19
7/8/2013,251,304,6
7/9/2013,401,1184,20
7/9/2013,397,1264,26
7/9/2013,429,1157,11
7/9/2013,458,1212,22
7/9/2013,248,1161,14
7/9/2013,251,427,9
7/9/2013,239,437,9
7/9/2013,326,787,9
7/9/2013,240,386,11
7/9/2013,243,1145,10
7/10/2013,401,1001,16
7/10/2013,429,1007,12
7/10/2013,458,998,14
7/10/2013,240,340,8
7/10/2013,243,1029,16
7/10/2013,397,1073,20
7/10/2013,239,335,7
7/10/2013,326,665,6
7/10/2013,248,1010,14
7/10/2013,251,337,10
7/11/2013,401,1098,24
7/11/2013,239,336,10
7/11/2013,326,752,8
7/11/2013,248,999,18
7/11/2013,251,298,11
7/11/2013,240,282,9
7/11/2013,243,1018,21
7/11/2013,397,1080,17
7/11/2013,429,985,14
7/11/2013,458,1004,19
7/12/2013,401,1021,25
7/12/2013,326,660,4
7/12/2013,239,341,11
7/12/2013,248,968,15
7/12/2013,243,1010,18
7/12/2013,397,1075,25
7/12/2013,429,1005,16
7/12/2013,458,993,20
7/12/2013,240,317,5
7/12/2013,222,3,3
7/12/2013,251,324,7
7/13/2013,239,367,8
7/13/2013,326,765,5
7/13/2013,401,1131,17
7/13/2013,248,1020,16
7/13/2013,251,394,8
7/13/2013,222,1,1
7/13/2013,240,331,4
7/13/2013,243,1110,17
7/13/2013,324,1,1
7/13/2013,397,1161,21
7/13/2013,429,1130,19
7/13/2013,458,1120,11
7/14/2013,401,1198,18
7/14/2013,429,1234,19
7/14/2013,458,1172,23
7/14/2013,240,362,8
7/14/2013,243,1149,23
7/14/2013,397,1274,11
7/14/2013,239,323,8
7/14/2013,326,874,8
7/14/2013,248,1162,10
7/14/2013,251,317,13
7/15/2013,248,1254,21
7/15/2013,251,369,12
7/15/2013,239,343,7
7/15/2013,326,881,9
7/15/2013,401,1250,18
7/15/2013,240,389,8
7/15/2013,243,1305,9
7/15/2013,397,1347,21
7/15/2013,429,1313,22
7/15/2013,458,1271,27
7/16/2013,326,967,4
7/16/2013,401,1299,16
7/16/2013,239,276,9
7/16/2013,248,1256,16
7/16/2013,251,285,18
7/16/2013,240,289,7
7/16/2013,243,1250,19
7/16/2013,397,1232,11
7/16/2013,429,1257,22
7/16/2013,458,1199,18
7/17/2013,239,243,7
7/17/2013,326,921,7
7/17/2013,248,1140,12
7/17/2013,401,1174,25
7/17/2013,251,229,6
7/17/2013,240,231,11
7/17/2013,243,1128,16
7/17/2013,397,1188,17
7/17/2013,429,1153,11
7/17/2013,458,1176,17
7/18/2013,239,215,10
7/18/2013,326,1107,13
7/18/2013,401,1179,26
7/18/2013,248,1189,28
7/18/2013,251,225,6
7/18/2013,324,1,1
7/18/2013,240,230,9
7/18/2013,243,1197,21
7/18/2013,NULL,1,0
7/18/2013,397,1178,13
7/18/2013,429,1210,26
7/18/2013,458,1157,17
7/19/2013,239,252,11
7/19/2013,326,938,5
7/19/2013,248,1093,25
7/19/2013,251,261,17
7/19/2013,240,261,13
7/19/2013,243,1061,26
7/19/2013,397,1112,18
7/19/2013,429,1156,14
7/19/2013,458,1131,26
7/19/2013,401,1100,17
7/20/2013,240,244,14
7/20/2013,324,1,1
7/20/2013,248,917,19
7/20/2013,251,247,12
7/20/2013,326,744,4
7/20/2013,239,223,6
7/20/2013,401,1008,20
7/20/2013,243,912,17
7/20/2013,397,938,13
7/20/2013,429,1007,25
7/20/2013,458,930,22
7/21/2013,251,320,12
7/21/2013,248,1036,19
7/21/2013,401,1038,20
7/21/2013,239,286,10
7/21/2013,326,836,8
7/21/2013,243,1055,24
7/21/2013,397,999,9
7/21/2013,429,1023,18
7/21/2013,458,1066,29
7/21/2013,240,276,7
7/22/2013,401,1063,23
7/22/2013,222,1,1
7/22/2013,248,1026,22
7/22/2013,251,308,15
7/22/2013,239,282,17
7/22/2013,326,844,4
7/22/2013,240,293,10
7/22/2013,243,1005,19
7/22/2013,397,1116,16
7/22/2013,429,1128,20
7/22/2013,458,1061,21